ticket,region,departamento,ciudad,territorialidad,itsm_servicenow,workorder_salesforce,clientes_afectados,tecnologia,cantidad_nodos,cantidad_arpones,cmts,olt,interfaz,cable_padre,cable_hijo,nodo_vip,impacto,urgencia,grupo_whatsapp,descripcion,resumen,tecnico_asignado,avances,adjuntos,existe_en_cacti,fuente_voltaje,fuente_amperaje,flag_en_bateria,nodos_sector_en_bateria,forma_resolucion,restablecio_autonomo,hora_caida,hora_restablecimiento,fuente_monitoreo,correlacion_grafica_monitoreo,delta_correlacion_min,falla_simultanea_nodo_arpon,solucion_aplicada,tiempo_resolucion_min,requiere_notificacion,accion_recomendada
TKT-000001,COSTA,Cordoba,Monteria,Urbano,INC5991262,WO-899099,1188,HFC,4,0,CMTS_COS_25,,GE0/0/33,CP_COS_012,,False,Alto,Media,GRP_NOC_COSTA,Degradacion de potencia optica,Degradacion de potencia optica (HFC) en Monteria,TEC_008,Diagnostico inicial registrado,5,True,55.14,4.64,False,0,CUADRILLA,False,2026-01-28 22:46:00,2026-01-29 04:11:00,CACTI,False,40,False,Reconfiguracion de la interfaz afectada,325,True,DESPACHAR_CUADRILLA
TKT-000002,COSTA,Cordoba,Monteria,Urbano,INC7178303,WO-528133,154,HFC,1,0,CMTS_COS_29,,GE0/3/42,CP_COS_040,CH_155,False,Medio,Critica,GRP_NOC_COSTA,Intermitencia en el servicio,Intermitencia en el servicio (HFC) en Monteria,TEC_040,Diagnostico inicial registrado,1,True,52.18,4.77,False,0,CUADRILLA,False,2026-05-26 09:19:00,2026-05-26 16:37:00,CACTI,False,100,False,Reconfiguracion de la interfaz afectada,438,True,DESPACHAR_CUADRILLA
TKT-000003,ORIENTE,Santander,Bucaramanga,Periurbano,INC3494094,WO-802655,4150,GPON,0,10,,OLT_ORI_03,GE0/2/36,CP_ORI_050,,False,Bajo,Critica,GRP_NOC_ORIENTE,Intermitencia en el servicio,Intermitencia en el servicio (GPON) en Bucaramanga,TEC_067,Diagnostico inicial registrado,2,False,0.0,0.0,False,0,CUADRILLA,False,2026-01-21 19:11:00,2026-01-22 01:46:00,ZABBIX,False,160,False,Cambio de tarjeta en el elemento,395,True,DESPACHAR_CUADRILLA
TKT-000004,ORIENTE,Santander,Bucaramanga,Urbano,INC8395069,WO-152472,1038,HFC,2,0,CMTS_ORI_13,,GE0/5/31,CP_ORI_028,,False,Bajo,Critica,GRP_NOC_ORIENTE,Perdida de senal en el sector,Perdida de senal en el sector (HFC) en Bucaramanga,TEC_102,Diagnostico inicial registrado,1,True,54.54,6.77,False,0,CUADRILLA,False,2026-01-05 08:26:00,2026-01-05 16:18:00,CACTI,False,152,False,Empalme de fibra reparado en sitio,472,True,DESPACHAR_CUADRILLA
TKT-000005,BOGOTA,Cundinamarca,Bogota,Rural,INC3148896,WO-371360,2793,GPON,0,7,,OLT_BOG_29,GE0/5/19,CP_BOG_024,,False,Alto,Critica,GRP_NOC_BOGOTA,Perdida de senal en el sector,Perdida de senal en el sector (GPON) en Bogota,TEC_082,Diagnostico inicial registrado,3,False,0.0,0.0,False,0,TECNICO_URGENTE,False,2026-04-19 16:27:00,2026-04-19 20:19:00,ZABBIX,True,6,True,Atencion prioritaria por dano grave multielemento,232,True,TECNICO_URGENTE
TKT-000006,ANDINA,Valle del Cauca,Cali,Urbano,INC8277945,WO-621297,161,HFC,1,0,CMTS_AND_10,,GE0/7/17,CP_AND_054,,False,Critico,Alta,GRP_NOC_ANDINA,Alta tasa de errores en la interfaz,Alta tasa de errores en la interfaz (HFC) en Cali,TEC_066,Diagnostico inicial registrado,1,True,55.88,7.89,False,0,CUADRILLA,False,2026-02-10 01:05:00,2026-02-10 05:04:00,CACTI,False,182,False,Cuadrilla reemplazo conector danado,239,True,DESPACHAR_CUADRILLA
TKT-000007,BOGOTA,Cundinamarca,Soacha,Rural,INC4121827,WO-651206,3564,HFC,6,0,CMTS_BOG_09,,GE0/5/6,CP_BOG_035,,False,Medio,Critica,GRP_NOC_BOGOTA,Caida total del elemento de red,Caida total del elemento de red (HFC) en Soacha,TEC_071,Diagnostico inicial registrado,1,False,42.91,0.6,True,3,AUTORRESTABLECIMIENTO,True,2026-04-12 02:10:00,2026-04-12 03:07:00,CACTI,True,3,False,Servicio restablecido al normalizarse la energia comercial del sector,57,True,ESPERAR_AUTORRESTABLECIMIENTO
TKT-000008,ORIENTE,Norte de Santander,Cucuta,Urbano,INC9065446,WO-588543,250,GPON,0,1,,OLT_ORI_03,GE0/2/23,CP_ORI_040,,False,Medio,Baja,GRP_NOC_ORIENTE,Alta tasa de errores en la interfaz,Alta tasa de errores en la interfaz (GPON) en Cucuta,TEC_017,Diagnostico inicial registrado,1,False,0.0,0.0,False,0,CUADRILLA,False,2026-05-24 07:32:00,2026-05-24 12:03:00,ZABBIX,False,127,False,Cambio de tarjeta en el elemento,271,False,DESPACHAR_CUADRILLA
TKT-000009,ANDINA,Antioquia,Medellin,Periurbano,INC3854249,WO-282464,606,GPON,0,2,,OLT_AND_09,GE0/1/31,CP_AND_044,,False,Medio,Critica,GRP_NOC_ANDINA,Alta tasa de errores en la interfaz,Alta tasa de errores en la interfaz (GPON) en Medellin,TEC_114,Diagnostico inicial registrado,3,False,0.0,0.0,False,0,CUADRILLA,False,2026-02-05 00:08:00,2026-02-05 04:54:00,ZABBIX,True,5,False,Empalme de fibra reparado en sitio,286,True,DESPACHAR_CUADRILLA
TKT-000010,BOGOTA,Cundinamarca,Soacha,Urbano,INC7629555,WO-772109,2040,HFC,8,0,CMTS_BOG_28,,GE0/1/7,CP_BOG_032,CH_009,False,Critico,Media,GRP_NOC_BOGOTA,Sin comunicacion con el elemento,Sin comunicacion con el elemento (HFC) en Soacha,TEC_046,Diagnostico inicial registrado,1,False,55.57,7.74,False,0,CUADRILLA,False,2026-03-19 11:18:00,2026-03-19 12:12:00,CACTI,False,45,False,Reconfiguracion de la interfaz afectada,54,True,DESPACHAR_CUADRILLA
